# SQM interaction energies (kcal/mol)
"name"	"PM6"	"PM6-D3H4"	"PM6-D3H4X"	"PM6-D3H4'X"	"PM7"	"DFTB3"	"DFTB3-D3"	"DFTB3-D3H4"	"DFTB3-D3H5"	"DFTB3-D3H5'"	"GFN-XTB2"
2.50_1.25_hydrogeniodide--trimethylphosphite	-4.524	-5.651	-5.636	-6.161	-5.668	-3.599	-5.055	-5.047	-5.298	-5.453	-5.676
2.50_1.50_hydrogeniodide--trimethylphosphite	-2.869	-3.698	-3.697	-4.054	-4.139	-1.907	-3.011	-2.946	-2.998	-3.089	-3.869
2.50_2.00_hydrogeniodide--trimethylphosphite	-1.410	-1.714	-1.714	-1.777	-1.916	-0.846	-1.371	-1.210	-1.233	-1.279	-1.836
2.51_0.80_hydrogeniodide--water	-3.159	-2.607	-2.022	-2.022	-1.000	-2.092	-2.599	-1.904	-2.492	-2.911	-4.216
2.51_0.85_hydrogeniodide--water	-4.027	-3.759	-3.394	-3.394	-2.441	-3.404	-3.900	-3.318	-4.109	-4.450	-5.327
2.51_0.90_hydrogeniodide--water	-4.351	-4.269	-4.042	-4.042	-3.296	-4.012	-4.495	-3.997	-4.942	-5.228	-5.771
2.51_0.95_hydrogeniodide--water	-4.339	-4.380	-4.239	-4.239	-3.756	-4.123	-4.594	-4.139	-5.138	-5.380	-5.797
2.51_1.00_hydrogeniodide--water	-4.133	-4.260	-4.172	-4.172	-3.945	-3.927	-4.382	-3.950	-4.883	-5.085	-5.577
2.51_1.05_hydrogeniodide--water	-3.822	-4.015	-3.960	-3.960	-3.951	-3.565	-4.005	-3.607	-4.374	-4.540	-5.228
2.51_1.10_hydrogeniodide--water	-3.466	-3.711	-3.677	-3.677	-3.835	-3.139	-3.562	-3.232	-3.789	-3.923	-4.825
2.51_1.25_hydrogeniodide--water	-2.435	-2.738	-2.730	-2.730	-3.168	-1.974	-2.340	-2.197	-2.300	-2.372	-3.643
2.51_1.50_hydrogeniodide--water	-1.389	-1.624	-1.623	-1.623	-2.123	-0.958	-1.222	-1.122	-1.123	-1.162	-2.303
2.51_2.00_hydrogeniodide--water	-0.645	-0.708	-0.708	-0.708	-1.004	-0.389	-0.494	-0.413	-0.413	-0.431	-1.087
3.01_0.80_ethyne--phosphaalkene	4.433	3.803	3.797	3.797	8.465	0.511	-0.838	-0.314	-0.314	-0.314	-0.656
3.01_0.85_ethyne--phosphaalkene	2.258	1.641	1.637	1.637	5.449	-0.471	-1.736	-1.367	-1.367	-1.367	-1.680
3.01_0.90_ethyne--phosphaalkene	1.111	0.517	0.513	0.513	3.363	-0.815	-1.992	-1.665	-1.665	-1.665	-2.133
3.01_0.95_ethyne--phosphaalkene	0.501	-0.075	-0.078	-0.078	1.900	-0.845	-1.934	-1.615	-1.615	-1.615	-2.261
3.01_1.00_ethyne--phosphaalkene	0.113	-0.456	-0.459	-0.459	0.865	-0.746	-1.750	-1.468	-1.468	-1.468	-2.211
3.01_1.05_ethyne--phosphaalkene	-0.170	-0.734	-0.737	-0.737	0.134	-0.615	-1.536	-1.331	-1.331	-1.331	-2.070
3.01_1.10_ethyne--phosphaalkene	-0.367	-0.913	-0.917	-0.917	-0.373	-0.495	-1.334	-1.200	-1.200	-1.200	-1.885
3.01_1.25_ethyne--phosphaalkene	-0.531	-0.963	-0.966	-0.966	-1.003	-0.269	-0.888	-0.796	-0.796	-0.796	-1.323
3.01_1.50_ethyne--phosphaalkene	-0.311	-0.528	-0.529	-0.529	-0.785	-0.139	-0.475	-0.399	-0.399	-0.399	-0.701
3.01_2.00_ethyne--phosphaalkene	-0.106	-0.159	-0.159	-0.159	-0.373	-0.056	-0.141	-0.114	-0.114	-0.114	-0.237
3.02_0.80_ethyne--phosphine	3.581	3.332	3.331	3.331	8.601	0.375	-0.237	-0.011	-0.011	-0.011	0.157
3.02_0.85_ethyne--phosphine	1.861	1.639	1.639	1.639	5.731	-0.344	-0.914	-0.679	-0.679	-0.679	-0.835
3.02_0.90_ethyne--phosphine	0.970	0.760	0.760	0.760	3.727	-0.550	-1.079	-0.829	-0.829	-0.829	-1.285
3.02_0.95_ethyne--phosphine	0.450	0.240	0.240	0.240	2.307	-0.529	-1.018	-0.784	-0.784	-0.784	-1.435
3.02_1.00_ethyne--phosphine	0.078	-0.135	-0.135	-0.135	1.293	-0.432	-0.882	-0.708	-0.708	-0.708	-1.424
3.02_1.05_ethyne--phosphine	-0.201	-0.411	-0.411	-0.411	0.574	-0.328	-0.741	-0.631	-0.631	-0.631	-1.330
3.02_1.10_ethyne--phosphine	-0.388	-0.590	-0.589	-0.589	0.077	-0.244	-0.620	-0.532	-0.532	-0.532	-1.200
3.02_1.25_ethyne--phosphine	-0.524	-0.703	-0.703	-0.703	-0.528	-0.116	-0.392	-0.317	-0.317	-0.317	-0.814
3.02_1.50_ethyne--phosphine	-0.312	-0.401	-0.401	-0.401	-0.345	-0.060	-0.206	-0.163	-0.163	-0.163	-0.424
3.02_2.00_ethyne--phosphine	-0.116	-0.136	-0.136	-0.136	-0.138	-0.024	-0.059	-0.045	-0.045	-0.045	-0.152
3.03_0.80_ethyne--phosphorine	4.610	4.110	4.102	4.102	6.278	2.497	1.109	1.709	1.709	1.709	-0.272
3.03_0.85_ethyne--phosphorine	2.279	1.749	1.742	1.742	3.324	0.861	-0.444	-0.059	-0.059	-0.059	-1.479
3.03_0.90_ethyne--phosphorine	1.038	0.480	0.475	0.475	1.435	0.117	-1.104	-0.870	-0.870	-0.870	-2.008
3.03_0.95_ethyne--phosphorine	0.337	-0.242	-0.248	-0.248	0.216	-0.168	-1.303	-1.133	-1.133	-1.133	-2.159
3.03_1.00_ethyne--phosphorine	-0.090	-0.683	-0.688	-0.688	-0.561	-0.241	-1.289	-1.166	-1.166	-1.166	-2.109
3.03_1.05_ethyne--phosphorine	-0.339	-0.936	-0.941	-0.941	-1.036	-0.228	-1.192	-1.091	-1.091	-1.091	-1.958
3.03_1.10_ethyne--phosphorine	-0.458	-1.046	-1.051	-1.051	-1.297	-0.192	-1.071	-0.984	-0.984	-0.984	-1.766
3.03_1.25_ethyne--phosphorine	-0.417	-0.876	-0.880	-0.880	-1.343	-0.102	-0.742	-0.697	-0.697	-0.697	-1.204
3.03_1.50_ethyne--phosphorine	-0.176	-0.378	-0.380	-0.380	-0.710	-0.049	-0.378	-0.305	-0.305	-0.305	-0.603
3.03_2.00_ethyne--phosphorine	-0.050	-0.097	-0.097	-0.097	-0.241	-0.017	-0.094	-0.072	-0.072	-0.072	-0.178
3.04_0.80_ethyne--trimethylphosphine	4.374	3.782	3.780	3.780	10.002	0.820	-0.262	-0.075	-0.075	-0.075	0.326
3.04_0.85_ethyne--trimethylphosphine	2.231	1.715	1.714	1.714	6.655	-0.214	-1.207	-1.033	-1.033	-1.033	-1.130
3.04_0.90_ethyne--trimethylphosphine	1.099	0.644	0.644	0.644	4.325	-0.562	-1.470	-1.266	-1.266	-1.266	-1.820
3.04_0.95_ethyne--trimethylphosphine	0.523	0.110	0.109	0.109	2.685	-0.580	-1.406	-1.183	-1.183	-1.183	-2.077
3.04_1.00_ethyne--trimethylphosphine	0.170	-0.217	-0.217	-0.217	1.514	-0.470	-1.221	-1.015	-1.015	-1.015	-2.098
3.04_1.05_ethyne--trimethylphosphine	-0.101	-0.466	-0.466	-0.466	0.675	-0.336	-1.016	-0.868	-0.868	-0.868	-1.998
3.04_1.10_ethyne--trimethylphosphine	-0.311	-0.652	-0.652	-0.652	0.078	-0.221	-0.836	-0.740	-0.740	-0.740	-1.843
3.04_1.25_ethyne--trimethylphosphine	-0.551	-0.823	-0.823	-0.823	-0.775	-0.047	-0.492	-0.405	-0.405	-0.405	-1.338
3.04_1.50_ethyne--trimethylphosphine	-0.361	-0.514	-0.514	-0.514	-0.766	-0.007	-0.249	-0.202	-0.202	-0.202	-0.757
3.04_2.00_ethyne--trimethylphosphine	-0.128	-0.167	-0.167	-0.167	-0.395	-0.004	-0.068	-0.048	-0.048	-0.048	-0.290
3.05_0.80_ethyne--trimethylphosphite	4.541	3.622	3.619	3.619	8.592	1.972	0.367	0.042	-0.026	-0.026	0.717
3.05_0.85_ethyne--trimethylphosphite	2.499	1.653	1.652	1.652	5.637	1.031	-0.455	-0.754	-0.803	-0.803	-0.735
3.05_0.90_ethyne--trimethylphosphite	1.432	0.650	0.649	0.649	3.551	0.677	-0.692	-0.902	-0.937	-0.937	-1.491
3.05_0.95_ethyne--trimethylphosphite	0.860	0.125	0.124	0.124	2.058	0.593	-0.663	-0.792	-0.818	-0.818	-1.815
3.05_1.00_ethyne--trimethylphosphite	0.483	-0.219	-0.219	-0.219	0.979	0.607	-0.541	-0.642	-0.662	-0.662	-1.887
3.05_1.05_ethyne--trimethylphosphite	0.197	-0.473	-0.474	-0.474	0.199	0.634	-0.409	-0.532	-0.547	-0.547	-1.818
3.05_1.10_ethyne--trimethylphosphite	-0.011	-0.638	-0.639	-0.639	-0.356	0.646	-0.299	-0.434	-0.447	-0.447	-1.680
3.05_1.25_ethyne--trimethylphosphite	-0.228	-0.699	-0.699	-0.699	-1.123	0.570	-0.114	-0.161	-0.168	-0.168	-1.174
3.05_1.50_ethyne--trimethylphosphite	-0.101	-0.335	-0.335	-0.335	-1.040	0.363	-0.003	0.016	0.012	0.012	-0.568
3.05_2.00_ethyne--trimethylphosphite	-0.001	-0.060	-0.060	-0.060	-0.370	0.154	0.060	0.072	0.071	0.071	-0.148
3.06_0.80_ammonia--phosphaalkene	5.015	4.469	4.462	2.421	7.755	1.654	0.392	1.458	0.418	0.418	-0.480
3.06_0.85_ammonia--phosphaalkene	2.278	1.716	1.711	-0.482	4.483	0.050	-1.148	-0.361	-0.991	-0.991	-1.638
3.06_0.90_ammonia--phosphaalkene	0.751	0.198	0.194	-2.104	2.236	-0.676	-1.801	-1.191	-1.533	-1.533	-2.184
3.06_0.95_ammonia--phosphaalkene	-0.034	-0.569	-0.572	-2.925	0.692	-0.921	-1.969	-1.465	-1.630	-1.630	-2.367
3.06_1.00_ammonia--phosphaalkene	-0.463	-0.982	-0.985	-3.343	-0.367	-0.928	-1.900	-1.467	-1.537	-1.537	-2.347
3.06_1.05_ammonia--phosphaalkene	-0.736	-1.243	-1.246	-3.563	-1.085	-0.836	-1.734	-1.378	-1.404	-1.404	-2.219
3.06_1.10_ammonia--phosphaalkene	-0.911	-1.410	-1.413	-3.644	-1.555	-0.718	-1.542	-1.264	-1.273	-1.273	-2.039
3.06_1.25_ammonia--phosphaalkene	-0.988	-1.435	-1.438	-3.207	-2.008	-0.434	-1.053	-0.902	-0.903	-0.903	-1.454
3.06_1.50_ammonia--phosphaalkene	-0.592	-0.833	-0.835	-1.597	-1.379	-0.228	-0.575	-0.487	-0.487	-0.487	-0.767
3.06_2.00_ammonia--phosphaalkene	-0.209	-0.265	-0.266	-0.266	-0.452	-0.094	-0.183	-0.146	-0.146	-0.146	-0.236
3.07_0.80_ammonia--trimethylphosphine	6.965	6.315	6.313	5.187	10.063	4.503	2.989	3.901	3.562	3.562	-0.789
3.07_0.85_ammonia--trimethylphosphine	3.544	2.810	2.808	1.548	6.117	2.057	0.629	1.304	1.158	1.158	-2.018
3.07_0.90_ammonia--trimethylphosphine	1.484	0.692	0.691	-0.680	3.408	0.751	-0.590	-0.128	-0.183	-0.183	-2.586
3.07_0.95_ammonia--trimethylphosphine	0.379	-0.439	-0.440	-1.895	1.534	0.118	-1.135	-0.833	-0.851	-0.851	-2.756
3.07_1.00_ammonia--trimethylphosphine	-0.197	-1.010	-1.011	-2.520	0.231	-0.146	-1.311	-1.116	-1.121	-1.121	-2.703
3.07_1.05_ammonia--trimethylphosphine	-0.530	-1.309	-1.310	-2.843	-0.668	-0.224	-1.301	-1.188	-1.189	-1.189	-2.536
3.07_1.10_ammonia--trimethylphosphine	-0.741	-1.467	-1.468	-2.996	-1.276	-0.219	-1.210	-1.157	-1.157	-1.157	-2.321
3.07_1.25_ammonia--trimethylphosphine	-0.907	-1.446	-1.447	-2.799	-1.986	-0.116	-0.860	-0.789	-0.789	-0.789	-1.660
3.07_1.50_ammonia--trimethylphosphine	-0.561	-0.841	-0.842	-1.590	-1.450	-0.043	-0.456	-0.387	-0.387	-0.387	-0.884
3.07_2.00_ammonia--trimethylphosphine	-0.185	-0.250	-0.250	-0.262	-0.417	-0.013	-0.118	-0.088	-0.088	-0.088	-0.269
3.08_0.80_ammonia--trimethylphosphite	4.765	3.586	3.584	1.446	8.350	4.140	2.627	1.968	1.370	1.370	-0.327
3.08_0.85_ammonia--trimethylphosphite	2.238	1.111	1.110	-1.126	5.068	2.126	0.712	0.098	-0.148	-0.148	-1.486
3.08_0.90_ammonia--trimethylphosphite	0.838	-0.204	-0.205	-2.499	2.847	1.084	-0.230	-0.763	-0.776	-0.776	-2.069
3.08_0.95_ammonia--trimethylphosphite	0.108	-0.837	-0.838	-3.152	1.341	0.587	-0.628	-1.091	-0.998	-0.998	-2.286
3.08_1.00_ammonia--trimethylphosphite	-0.287	-1.141	-1.142	-3.435	0.313	0.373	-0.745	-1.135	-1.016	-1.016	-2.285
3.08_1.05_ammonia--trimethylphosphite	-0.523	-1.302	-1.302	-3.537	-0.390	0.290	-0.734	-1.060	-0.950	-0.950	-2.164
3.08_1.10_ammonia--trimethylphosphite	-0.662	-1.381	-1.381	-3.523	-0.863	0.258	-0.675	-0.953	-0.862	-0.862	-1.986
3.08_1.25_ammonia--trimethylphosphite	-0.706	-1.233	-1.233	-2.938	-1.406	0.192	-0.493	-0.631	-0.603	-0.603	-1.399
3.08_1.50_ammonia--trimethylphosphite	-0.385	-0.636	-0.637	-1.424	-1.005	0.059	-0.315	-0.306	-0.311	-0.311	-0.701
3.08_2.00_ammonia--trimethylphosphite	-0.120	-0.181	-0.181	-0.185	-0.446	-0.033	-0.129	-0.105	-0.107	-0.107	-0.189
3.09_0.80_methylamine--trimethylphosphine	7.826	7.247	7.244	6.400	10.937	6.081	3.811	4.935	4.428	4.428	-0.008
3.09_0.85_methylamine--trimethylphosphine	4.002	3.202	3.200	2.245	6.326	2.938	0.802	1.716	1.468	1.468	-1.751
3.09_0.90_methylamine--trimethylphosphine	1.705	0.725	0.723	-0.325	3.240	1.225	-0.776	-0.086	-0.198	-0.198	-2.629
3.09_0.95_methylamine--trimethylphosphine	0.463	-0.643	-0.645	-1.766	1.168	0.363	-1.503	-1.045	-1.094	-1.094	-2.972
3.09_1.00_methylamine--trimethylphosphine	-0.186	-1.348	-1.350	-2.521	-0.220	-0.022	-1.755	-1.495	-1.517	-1.517	-3.003
3.09_1.05_methylamine--trimethylphosphine	-0.548	-1.699	-1.701	-2.898	-1.138	-0.161	-1.762	-1.652	-1.664	-1.664	-2.867
3.09_1.10_methylamine--trimethylphosphine	-0.759	-1.852	-1.853	-3.054	-1.724	-0.186	-1.657	-1.635	-1.642	-1.642	-2.651
3.09_1.25_methylamine--trimethylphosphine	-0.867	-1.677	-1.678	-2.760	-2.263	-0.104	-1.207	-1.146	-1.150	-1.150	-1.911
3.09_1.50_methylamine--trimethylphosphine	-0.484	-0.890	-0.891	-1.510	-1.497	-0.036	-0.647	-0.547	-0.549	-0.549	-1.000
3.09_2.00_methylamine--trimethylphosphine	-0.143	-0.242	-0.242	-0.254	-0.376	-0.011	-0.169	-0.128	-0.129	-0.129	-0.285
3.10_0.80_Nmethylacetamide--phosphaalkene	9.541	7.010	6.985	4.773	15.169	4.136	-0.603	0.656	0.560	0.560	-1.034
3.10_0.85_Nmethylacetamide--phosphaalkene	4.926	2.148	2.128	-0.226	9.242	1.369	-3.125	-2.265	-2.320	-2.320	-3.257
3.10_0.90_Nmethylacetamide--phosphaalkene	2.196	-0.691	-0.707	-3.153	5.187	-0.127	-4.359	-3.759	-3.788	-3.788	-4.390
3.10_0.95_Nmethylacetamide--phosphaalkene	0.707	-2.191	-2.205	-4.690	2.428	-0.837	-4.799	-4.393	-4.405	-4.405	-4.830
3.10_1.00_Nmethylacetamide--phosphaalkene	-0.096	-2.926	-2.939	-5.412	0.554	-1.093	-4.782	-4.557	-4.559	-4.559	-4.854
3.10_1.05_Nmethylacetamide--phosphaalkene	-0.555	-3.246	-3.258	-5.670	-0.714	-1.111	-4.528	-4.466	-4.463	-4.463	-4.643
3.10_1.10_Nmethylacetamide--phosphaalkene	-0.824	-3.316	-3.327	-5.635	-1.559	-1.022	-4.170	-4.203	-4.198	-4.198	-4.309
3.10_1.25_Nmethylacetamide--phosphaalkene	-0.981	-2.789	-2.797	-4.596	-2.538	-0.658	-3.043	-2.913	-2.907	-2.907	-3.136
3.10_1.50_Nmethylacetamide--phosphaalkene	-0.558	-1.488	-1.493	-2.247	-1.853	-0.315	-1.683	-1.442	-1.439	-1.439	-1.619
3.10_2.00_Nmethylacetamide--phosphaalkene	-0.142	-0.384	-0.385	-0.386	-0.451	-0.080	-0.464	-0.358	-0.358	-0.358	-0.363
3.11_0.80_Nmethylacetamide--phosphaalkyne	9.269	7.531	7.527	5.229	15.990	3.660	0.436	1.067	0.880	0.880	-0.929
3.11_0.85_Nmethylacetamide--phosphaalkyne	4.984	3.220	3.217	0.801	10.099	1.156	-1.903	-1.405	-1.528	-1.528	-2.745
3.11_0.90_Nmethylacetamide--phosphaalkyne	2.511	0.739	0.736	-1.742	6.099	-0.169	-3.056	-2.595	-2.676	-2.676	-3.610
3.11_0.95_Nmethylacetamide--phosphaalkyne	1.112	-0.659	-0.662	-3.145	3.391	-0.773	-3.484	-3.076	-3.129	-3.129	-3.900
3.11_1.00_Nmethylacetamide--phosphaalkyne	0.286	-1.469	-1.472	-3.907	1.555	-0.972	-3.505	-3.219	-3.256	-3.256	-3.865
3.11_1.05_Nmethylacetamide--phosphaalkyne	-0.219	-1.926	-1.928	-4.268	0.311	-0.966	-3.318	-3.184	-3.211	-3.211	-3.654
3.11_1.10_Nmethylacetamide--phosphaalkyne	-0.511	-2.130	-2.132	-4.334	-0.520	-0.872	-3.045	-2.992	-3.014	-3.014	-3.358
3.11_1.25_Nmethylacetamide--phosphaalkyne	-0.661	-1.922	-1.924	-3.536	-1.508	-0.533	-2.187	-2.105	-2.120	-2.120	-2.395
3.11_1.50_Nmethylacetamide--phosphaalkyne	-0.306	-0.946	-0.946	-1.512	-1.088	-0.222	-1.165	-1.014	-1.025	-1.025	-1.207
3.11_2.00_Nmethylacetamide--phosphaalkyne	-0.032	-0.188	-0.189	-0.189	-0.234	-0.025	-0.277	-0.209	-0.215	-0.215	-0.244
3.12_0.80_Nmethylacetamide--phosphine	5.376	4.609	4.606	2.451	11.081	2.883	1.407	1.921	1.805	1.805	-1.021
3.12_0.85_Nmethylacetamide--phosphine	2.420	1.684	1.682	-0.629	7.514	0.787	-0.592	-0.202	-0.270	-0.270	-2.453
3.12_0.90_Nmethylacetamide--phosphine	0.647	-0.043	-0.045	-2.463	4.949	-0.239	-1.523	-1.182	-1.219	-1.219	-3.113
3.12_0.95_Nmethylacetamide--phosphine	-0.295	-0.937	-0.937	-3.414	3.059	-0.653	-1.843	-1.503	-1.520	-1.520	-3.311
3.12_1.00_Nmethylacetamide--phosphine	-0.785	-1.385	-1.385	-3.870	1.640	-0.750	-1.848	-1.504	-1.510	-1.510	-3.251
3.12_1.05_Nmethylacetamide--phosphine	-1.089	-1.654	-1.655	-4.099	0.567	-0.704	-1.714	-1.393	-1.393	-1.393	-3.061
3.12_1.10_Nmethylacetamide--phosphine	-1.315	-1.847	-1.848	-4.210	-0.239	-0.610	-1.534	-1.275	-1.272	-1.272	-2.814
3.12_1.25_Nmethylacetamide--phosphine	-1.596	-2.014	-2.014	-3.919	-1.486	-0.366	-1.058	-0.887	-0.881	-0.881	-2.045
3.12_1.50_Nmethylacetamide--phosphine	-1.228	-1.477	-1.478	-2.354	-1.405	-0.213	-0.608	-0.503	-0.499	-0.499	-1.189
3.12_2.00_Nmethylacetamide--phosphine	-0.615	-0.681	-0.681	-0.683	-0.506	-0.108	-0.219	-0.176	-0.174	-0.174	-0.506
3.13_0.80_Nmethylacetamide--trimethylphosphite	8.297	4.490	4.480	2.452	11.201	6.901	2.810	1.543	2.026	2.026	-0.262
3.13_0.85_Nmethylacetamide--trimethylphosphite	4.966	1.427	1.419	-0.788	7.065	4.236	0.405	-0.728	-0.260	-0.260	-2.326
3.13_0.90_Nmethylacetamide--trimethylphosphite	2.802	-0.458	-0.464	-2.808	4.084	2.828	-0.746	-1.740	-1.329	-1.329	-3.558
3.13_0.95_Nmethylacetamide--trimethylphosphite	1.558	-1.418	-1.423	-3.859	1.912	2.158	-1.164	-2.008	-1.672	-1.672	-4.182
3.13_1.00_Nmethylacetamide--trimethylphosphite	0.904	-1.787	-1.792	-4.273	0.300	1.881	-1.195	-1.895	-1.638	-1.638	-4.381
3.13_1.05_Nmethylacetamide--trimethylphosphite	0.533	-1.877	-1.881	-4.361	-0.911	1.788	-1.048	-1.611	-1.428	-1.428	-4.307
3.13_1.10_Nmethylacetamide--trimethylphosphite	0.263	-1.877	-1.881	-4.317	-1.819	1.764	-0.842	-1.282	-1.160	-1.160	-4.073
3.13_1.25_Nmethylacetamide--trimethylphosphite	-0.250	-1.716	-1.719	-3.800	-3.242	1.679	-0.300	-0.428	-0.421	-0.421	-3.047
3.13_1.50_Nmethylacetamide--trimethylphosphite	-0.182	-0.972	-0.973	-2.081	-2.987	1.313	0.147	0.243	0.211	0.211	-1.607
3.13_2.00_Nmethylacetamide--trimethylphosphite	0.138	-0.083	-0.083	-0.101	-1.221	0.758	0.405	0.488	0.474	0.474	-0.407
3.14_0.80_aceticacid--phosphine	9.104	8.533	8.530	6.896	9.088	2.216	1.019	1.650	1.620	1.620	-3.771
3.14_0.85_aceticacid--phosphine	5.517	4.941	4.939	3.124	5.906	0.590	-0.558	-0.182	-0.198	-0.198	-5.558
3.14_0.90_aceticacid--phosphine	2.729	2.175	2.173	0.208	3.735	-0.896	-1.996	-1.779	-1.788	-1.788	-6.285
3.14_0.95_aceticacid--phosphine	0.759	0.237	0.235	-1.845	2.205	-1.526	-2.577	-2.384	-2.391	-2.391	-6.356
3.14_1.00_aceticacid--phosphine	-0.451	-0.948	-0.949	-3.109	1.086	-1.656	-2.655	-2.417	-2.422	-2.422	-6.052
3.14_1.05_aceticacid--phosphine	-1.090	-1.579	-1.579	-3.781	0.239	-1.529	-2.478	-2.189	-2.193	-2.193	-5.555
3.14_1.10_aceticacid--phosphine	-1.397	-1.889	-1.890	-4.095	-0.417	-1.300	-2.197	-1.890	-1.894	-1.894	-4.982
3.14_1.25_aceticacid--phosphine	-1.696	-2.178	-2.178	-4.191	-1.620	-0.650	-1.393	-1.251	-1.255	-1.255	-3.351
3.14_1.50_aceticacid--phosphine	-1.334	-1.684	-1.684	-2.933	-1.868	-0.224	-0.724	-0.629	-0.632	-0.632	-1.613
3.14_2.00_aceticacid--phosphine	-0.399	-0.500	-0.500	-0.563	-0.522	-0.058	-0.230	-0.172	-0.173	-0.173	-0.427
3.15_0.80_methanol--phosphaalkyne	9.189	8.778	8.777	6.660	15.501	3.484	1.677	2.879	2.430	2.430	1.201
3.15_0.85_methanol--phosphaalkyne	4.823	4.261	4.260	2.081	9.619	0.643	-1.089	-0.136	-0.414	-0.414	-1.196
3.15_0.90_methanol--phosphaalkyne	2.334	1.610	1.610	-0.597	5.859	-0.775	-2.425	-1.639	-1.789	-1.789	-2.411
3.15_0.95_methanol--phosphaalkyne	0.965	0.088	0.088	-2.113	3.475	-1.358	-2.922	-2.305	-2.376	-2.376	-2.920
3.15_1.00_methanol--phosphaalkyne	0.217	-0.770	-0.770	-2.930	1.938	-1.492	-2.966	-2.593	-2.622	-2.622	-3.031
3.15_1.05_methanol--phosphaalkyne	-0.196	-1.226	-1.226	-3.311	0.907	-1.413	-2.794	-2.670	-2.683	-2.683	-2.931
3.15_1.10_methanol--phosphaalkyne	-0.421	-1.429	-1.429	-3.409	0.188	-1.255	-2.540	-2.539	-2.546	-2.546	-2.727
3.15_1.25_methanol--phosphaalkyne	-0.578	-1.365	-1.365	-2.891	-0.906	-0.802	-1.795	-1.733	-1.736	-1.736	-1.985
3.15_1.50_methanol--phosphaalkyne	-0.364	-0.744	-0.744	-1.382	-0.927	-0.437	-0.997	-0.879	-0.881	-0.881	-1.068
3.15_2.00_methanol--phosphaalkyne	-0.134	-0.218	-0.218	-0.218	-0.263	-0.181	-0.319	-0.269	-0.270	-0.270	-0.333
3.16_0.80_methanol--phosphorine	9.646	9.018	9.003	8.106	11.882	3.843	2.176	2.796	2.641	2.641	-0.654
3.16_0.85_methanol--phosphorine	5.978	5.302	5.292	4.277	8.056	1.396	-0.206	0.273	0.192	0.192	-2.321
3.16_0.90_methanol--phosphorine	3.409	2.665	2.657	1.543	5.280	0.136	-1.388	-1.022	-1.060	-1.060	-3.114
3.16_0.95_methanol--phosphorine	1.777	0.964	0.957	-0.233	3.224	-0.429	-1.869	-1.587	-1.604	-1.604	-3.385
3.16_1.00_methanol--phosphorine	0.789	-0.071	-0.078	-1.321	1.679	-0.619	-1.973	-1.772	-1.781	-1.781	-3.362
3.16_1.05_methanol--phosphorine	0.162	-0.712	-0.719	-1.990	0.511	-0.626	-1.894	-1.775	-1.779	-1.779	-3.183
3.16_1.10_methanol--phosphorine	-0.266	-1.123	-1.131	-2.405	-0.366	-0.559	-1.741	-1.695	-1.698	-1.698	-2.932
3.16_1.25_methanol--phosphorine	-0.817	-1.502	-1.509	-2.656	-1.751	-0.327	-1.256	-1.247	-1.249	-1.249	-2.120
3.16_1.50_methanol--phosphorine	-0.605	-0.984	-0.988	-1.644	-1.691	-0.160	-0.716	-0.641	-0.642	-0.642	-1.171
3.16_2.00_methanol--phosphorine	-0.215	-0.310	-0.311	-0.324	-0.574	-0.065	-0.221	-0.177	-0.177	-0.177	-0.406
3.17_0.80_methanol--trimethylphosphite	10.998	7.328	7.322	5.728	14.469	5.910	3.291	1.114	1.972	1.972	2.052
3.17_0.85_methanol--trimethylphosphite	7.089	3.676	3.671	1.897	10.186	3.480	0.992	-1.106	-0.330	-0.330	-0.304
3.17_0.90_methanol--trimethylphosphite	4.184	1.063	1.060	-0.864	7.036	2.004	-0.352	-2.278	-1.606	-1.606	-1.836
3.17_0.95_methanol--trimethylphosphite	2.254	-0.564	-0.567	-2.605	4.674	1.318	-0.902	-2.568	-2.008	-2.008	-2.758
3.17_1.00_methanol--trimethylphosphite	1.132	-1.395	-1.396	-3.512	2.877	1.068	-1.016	-2.404	-1.953	-1.953	-3.222
3.17_1.05_methanol--trimethylphosphite	0.538	-1.719	-1.721	-3.875	1.484	1.029	-0.920	-2.064	-1.712	-1.712	-3.366
3.17_1.10_methanol--trimethylphosphite	0.208	-1.802	-1.803	-3.959	0.407	1.068	-0.746	-1.703	-1.438	-1.438	-3.307
3.17_1.25_methanol--trimethylphosphite	-0.319	-1.669	-1.670	-3.622	-1.486	1.150	-0.276	-0.892	-0.802	-0.802	-2.624
3.17_1.50_methanol--trimethylphosphite	-0.350	-1.001	-1.002	-2.178	-1.999	0.915	0.033	-0.080	-0.099	-0.099	-1.447
3.17_2.00_methanol--trimethylphosphite	-0.004	-0.176	-0.177	-0.223	-0.949	0.467	0.192	0.215	0.202	0.202	-0.378
3.18_0.80_aceticacid--P4	15.386	14.683	14.680	8.708	22.531	2.382	0.047	0.437	0.416	0.416	-4.415
3.18_0.85_aceticacid--P4	9.721	8.975	8.973	2.977	16.146	0.395	-1.828	-1.474	-1.488	-1.488	-5.530
3.18_0.90_aceticacid--P4	5.994	5.179	5.178	-0.744	11.504	-0.504	-2.613	-2.190	-2.199	-2.199	-5.831
3.18_0.95_aceticacid--P4	3.672	2.767	2.766	-2.991	8.101	-0.794	-2.786	-2.318	-2.324	-2.324	-5.651
